ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
720,0,89,26.399999618530273,9.199999809265137,2.119999885559082,13.260000228881836,-65.125,-5.125
721,0,379,24.799999237060547,13.600000381469727,15.949999809265137,11.640000343322754,-52.375,-13.791666666666668
722,0,151,26,11.699999809265137,6.099999904632568,12.880000114440918,-56.625,-16.291666666666668
723,0,621,23.5,10.399999618530273,80.33000183105469,9.220000267028809,-70.95833333333333,-12.958333333333336
724,0,150,27.299999237060547,10.600000381469727,9.699999809265137,13.15999984741211,-64.29166666666666,8.458333333333332
725,0,244,25.899999618530273,10.800000190734863,7.449999809265137,12.180000305175781,-73.375,-8.708333333333336
726,0,20,27,8,2.5799999237060547,13.270000457763672,-49.95833333333333,-0.4583333333333357
727,0,80,26.799999237060547,9.300000190734863,7.199999809265137,12.069999694824219,-56.125,-3.375
728,0,101,26.200000762939453,10.300000190734863,5.670000076293945,12.720000267028809,-65.625,-7.625
729,0,242,25.899999618530273,9.800000190734863,6.849999904632568,12.420000076293945,-62.541666666666664,7.374999999999998
730,0,4,27.100000381469727,9.199999809265137,1.059999942779541,13.979999542236328,-52.375,-1.625
731,0,552,22.5,8.899999618530273,15.90999984741211,11.510000228881836,-36.041666666666664,-7.208333333333336
732,0,534,23.700000762939453,13.600000381469727,2.9700000286102295,13.289999961853027,-45.95833333333333,-15.875
733,0,3,27.299999237060547,7.300000190734863,0.9700000286102295,13.59000015258789,-48.95833333333333,-0.29166666666666785
734,0,192,25.700000762939453,9.800000190734863,5.650000095367432,12.600000381469727,-74.875,-2.791666666666668
735,0,294,25.299999237060547,13.699999809265137,21.020000457763672,11.039999961853027,-52.791666666666664,-8.958333333333336
736,0,131,25.600000381469727,12.399999618530273,4.949999809265137,13.550000190734863,-58.875,-16.708333333333336
737,0,460,22.5,10.199999809265137,26.3700008392334,10.670000076293945,-40.375,-11.875
738,0,147,26.899999618530273,9,27.440000534057617,10.819999694824219,-58.375,-1.0416666666666679
739,0,346,25.399999618530273,12.899999618530273,26.09000015258789,10.970000267028809,-50.70833333333333,-8.875
740,0,290,25,14.699999809265137,3.490000009536743,12.680000305175781,-53.291666666666664,-12.375
741,0,43,26.700000762939453,8.800000190734863,5.210000038146973,12.510000228881836,-46.041666666666664,-2.125
742,0,522,25,10.600000381469727,27.739999771118164,10.819999694824219,-50.041666666666664,-14.708333333333336
743,0,370,24.799999237060547,14.699999809265137,8.109999656677246,11.979999542236328,-54.541666666666664,-11.708333333333336
744,0,291,26.299999237060547,12.199999809265137,13.640000343322754,11.510000228881836,-47.791666666666664,-9.208333333333336
745,0,197,25.200000762939453,10.600000381469727,6.630000114440918,12.600000381469727,-53.45833333333333,-4.875
746,0,76,27.600000381469727,10,2.140000104904175,14.069999694824219,-68.79166666666666,8.458333333333332
747,0,265,26.399999618530273,10.5,6.059999942779541,12.829999923706055,-38.541666666666664,-6.708333333333336
748,0,291,26,12.800000190734863,11.869999885559082,12.119999885559082,-51.625,-13.041666666666668
749,0,80,26.700000762939453,8.899999618530273,4.260000228881836,12.989999771118164,-65.125,-3.9583333333333357
750,0,183,26.100000381469727,10.699999809265137,10.0600004196167,11.850000381469727,-65.79166666666666,-9.541666666666668
751,0,328,26.899999618530273,13.5,7.889999866485596,12.1899995803833,-41.95833333333333,-8.791666666666668
752,0,535,22.399999618530273,13.5,14.949999809265137,11.619999885559082,-59.375,-13.708333333333336
